siteID,total_infected,total,prevalence
10_Month1,0,192,0
10_Month2,19.642314990512332,622,0.03157928455066292
10_Month3,10.714285714285714,167,0.0641573994867408
10_Month4,3.095238095238095,38,0.08145363408521303
10_Month5,0,25,0
10_Month6,0,30,0
11_Month1,22.310344827586206,667,0.03344879284495683
11_Month2,10.783333333333333,4715,0.002287027218098268
11_Month3,45.9,124,0.37016129032258066
11_Month4,0,51,0
11_Month5,0,31,0
11_Month6,0,35,0
12_Month1,0,93,0
12_Month3,11.533333333333331,150,0.07688888888888888
12_Month4,42.56261859582543,549,0.07752753842591152
12_Month5,1.4000000000000001,26,0.05384615384615385
12_Month6,0,32,0
13_Month1,0,51,0
13_Month2,0,5,0
13_Month3,14.782608695652174,74,0.199764982373678
13_Month4,16.23529411764706,25,0.6494117647058825
13_Month5,0,1,0
14_Month1,0,84,0
14_Month2,0,59,0
14_Month3,1.85,39,0.04743589743589744
14_Month4,0,17,0
14_Month5,0,5,0
14_Month6,0,13,0
15_Month1,0,176,0
15_Month2,3.1,103,0.030097087378640777
15_Month3,0,47,0
15_Month4,0,73,0
15_Month5,0,36,0
15_Month6,0,17,0
16_Month1,0,8,0
16_Month2,0,9,0
16_Month3,2.588235294117647,109,0.023745277927684837
16_Month4,16.857142857142854,19,0.8872180451127818
16_Month5,6,11,0.5454545454545454
16_Month6,0,4,0
17_Month1,82.875,702,0.11805555555555555
17_Month2,147.96666666666667,627,0.23599149388623072
17_Month3,157.73039215686273,228,0.6917999656002751
17_Month4,17.333333333333332,28,0.619047619047619
17_Month5,15,49,0.30612244897959184
17_Month6,0,30,0
18_Month1,2,7,0.2857142857142857
18_Month2,0,23,0
18_Month3,0,198,0
18_Month4,1.7142857142857142,115,0.014906832298136646
18_Month5,0,16,0
18_Month6,0,7,0
19_Month2,0,12,0
19_Month3,16.375,271,0.060424354243542436
19_Month4,14.265151515151516,75,0.1902020202020202
19_Month6,0,2,0
1_Month1,0,18,0
1_Month2,19.30769230769231,984,0.019621638524077552
1_Month3,419.9560700169396,2122,0.19790578228884995
1_Month5,0,74,0
20_Month1,0,20,0
20_Month2,0,17,0
20_Month3,1.375,12,0.11458333333333333
20_Month4,0,4,0
20_Month5,1,6,0.16666666666666666
20_Month6,0,36,0
2_Month2,0,8,0
2_Month3,0,86,0
2_Month4,495.49610389610393,1925,0.25740057345252154
3_Month2,0,2,0
3_Month3,77.46666666666667,89,0.8704119850187266
3_Month4,5,11,0.45454545454545453
3_Month5,0,6,0
4_Month3,0,2,0
4_Month4,0,7,0
4_Month6,0,2,0
5_Month4,0.5,184,0.002717391304347826
5_Month5,0,6,0
5_Month6,0,5,0
6_Month2,0,78,0
6_Month3,55.40281329923274,464,0.11940261486903608
6_Month4,134.0909090909091,733,0.18293439166563313
6_Month5,2.333333333333333,7,0.3333333333333333
7_Month3,6.695652173913043,79,0.08475509080902587
7_Month4,3.72,204,0.01823529411764706
7_Month5,0,253,0
7_Month6,0,9,0
8_Month1,39.7,239,0.16610878661087866
8_Month2,24.96551724137931,366,0.06821179574147353
8_Month3,86.31239388794567,465,0.1856180513719262
8_Month4,65.72727272727273,90,0.7303030303030303
8_Month5,88.5952380952381,201,0.4407723288320304
8_Month6,0,16,0
9_Month3,0,6,0
9_Month4,1.357142857142857,21,0.06462585034013604
9_Month5,0,1,0
